epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,572.714,1.56441,1.56009,1.71924,1.41487,0.79895,0.32094,0.44624,0.30296,0.76972,0.3092,0.42988,0.26958,1.29462,1.46782,1.49081,1.44664,0.0096634,0.0096634,0.0096634
70,581.305,1.59309,1.70315,1.71808,1.41812,0.61357,0.37378,0.45146,0.29337,0.62599,0.36204,0.44226,0.26725,1.36654,1.48118,1.53891,1.4794,0.00965845,0.00965845,0.00965845
71,589.841,1.57054,1.6132,1.69665,1.37531,0.69836,0.34834,0.43875,0.28248,0.68659,0.34247,0.4284,0.27091,1.36488,1.45071,1.85981,1.4876,0.0096535,0.0096535,0.0096535
72,598.168,1.48165,1.52398,1.61387,1.35502,0.65452,0.33855,0.43677,0.30271,0.62721,0.34242,0.43226,0.27976,1.40958,1.43571,1.61009,1.50444,0.00964855,0.00964855,0.00964855
73,606.368,1.53477,1.57512,1.64262,1.36894,0.73715,0.36204,0.4681,0.32295,0.74259,0.35421,0.46487,0.28911,1.37241,1.47782,1.52101,1.49052,0.0096436,0.0096436,0.0096436
74,614.521,1.5393,1.56998,1.6399,1.38949,0.71273,0.34051,0.45777,0.32453,0.70683,0.33659,0.45036,0.28575,1.3544,1.44821,1.48875,1.48258,0.00963865,0.00963865,0.00963865
75,622.996,1.49452,1.54661,1.61189,1.37769,0.69428,0.35029,0.46584,0.3241,0.67979,0.34899,0.45712,0.28102,1.3802,1.44349,1.5616,1.48758,0.0096337,0.0096337,0.0096337
76,631.418,1.53055,1.57641,1.62359,1.36607,0.75328,0.34057,0.46248,0.31954,0.72324,0.34638,0.45527,0.28206,1.329,1.44282,1.47487,1.48191,0.00962875,0.00962875,0.00962875
77,639.776,1.53739,1.65,1.67844,1.42532,0.60366,0.39046,0.46771,0.33645,0.67564,0.36399,0.46329,0.2971,1.40321,1.39611,1.59767,1.52565,0.0096238,0.0096238,0.0096238
78,648.15,1.55838,1.54143,1.65212,1.41756,0.76061,0.34834,0.4688,0.31379,0.73217,0.35421,0.46326,0.2766,1.37605,1.43439,1.51224,1.50646,0.00961885,0.00961885,0.00961885
79,656.498,1.539,1.58383,1.62849,1.37814,0.62957,0.38356,0.46728,0.31543,0.6299,0.38356,0.46184,0.28302,1.3657,1.38481,1.50166,1.49294,0.0096139,0.0096139,0.0096139
80,664.86,1.53613,1.60645,1.64195,1.38767,0.73061,0.33659,0.45891,0.31329,0.72212,0.33268,0.454,0.27764,1.3738,1.40985,1.52175,1.49781,0.00960895,0.00960895,0.00960895
81,673.182,1.49662,1.5199,1.59133,1.3836,0.60927,0.38143,0.4568,0.28677,0.60301,0.37752,0.453,0.27051,1.47262,1.42309,1.56978,1.53112,0.009604,0.009604,0.009604
82,681.649,1.51191,1.5647,1.62953,1.34587,0.70132,0.35812,0.45135,0.31101,0.64793,0.36399,0.443,0.27417,1.35389,1.50196,1.5569,1.46193,0.00959905,0.00959905,0.00959905
83,690.212,1.56646,1.59499,1.63844,1.37898,0.62595,0.36024,0.46049,0.32319,0.61063,0.35812,0.44858,0.27124,1.33253,1.47263,1.528,1.46346,0.0095941,0.0095941,0.0095941
84,698.466,1.51847,1.60266,1.62097,1.37844,0.71947,0.34442,0.46606,0.34021,0.72765,0.34834,0.45713,0.30399,1.28713,1.4283,1.48366,1.43753,0.00958915,0.00958915,0.00958915
85,706.82,1.5423,1.61709,1.65324,1.40516,0.70281,0.35635,0.46308,0.31826,0.69509,0.35244,0.45325,0.28586,1.29536,1.44789,1.51717,1.4473,0.0095842,0.0095842,0.0095842
86,715.197,1.52718,1.5921,1.63956,1.40291,0.58374,0.3953,0.46607,0.31231,0.59131,0.3964,0.46389,0.28498,1.32545,1.38715,1.45789,1.46773,0.00957925,0.00957925,0.00957925
